"TRAAAGF12903CEC202","Halvdan Sivertsen","Små Ord"
"TRAAZIE128F427961E","Danny Wilson","The Second Summer Of Love"
"TRAAZVG128F425A9BD","Westlife","When You're Looking Like That"
"TRAAZWO128F42386C3","Cascada","I Will Believe It"
"TRABAFJ128F42AF24E","Backstreet Boys","Larger Than Life"
"TRABBFC128F428DFC5","Tina Turner","We Don't Need Another Hero (Thunderdome)"
"TRABBJJ128F92E795A","Cock Robin","Superhuman"
"TRABCUQ128E0783E2B","Gwen Stefani","Harajuku Girls"
"TRABCWK128F42BBC0B","Take That","You Are The One"
"TRABFHV128F933D32D","Achim Reichel","Eckenliegerblues"
"TRABFRB128F42B8291","El Canto del Loco","Ya Nada Volvera A Ser Como Antes"
"TRABGCD128F42884EB","Nek","Dime porqué"
"TRABGMB128F92E8CF7","Lily Allen","Smile (Radio Edit)"
"TRABKTL128F92F9ECD","Waldo's People","Back Again"
"TRABLNQ128F930E053","Gloria Gaynor","I Want To Know What Love Is"
"TRABNVL128F14A9685","Banaroo","Ringa Ding Ding"
"TRABNXY128EF3451FC","First Choice","You Took The Words Right Out Of My Mouth"
"TRABNYP128F4263D6A","Rebbie Jackson","Play Your Game"
"TRABPGO128F931B50C","Emilia","You're My World"
"TRABPNQ12903CF544B","Vonda Shepard","Sweet Inspiration"
"TRABQDP128F42921F8","Whitney Houston","Didn't We Almost Have It All"
"TRABQUU128F932674B","Carpenters","The Rainbow Connection"
"TRABRVU128EF342D09","Melanie C","Forever Again"
"TRABTVA128F93309E3","Jewel","Break Me"
"TRABVVW128F427F8A8","Spear Of Destiny","All My Love (Ask Nothing)"
"TRABWQE128F9345160","Bananarama","Love Comes"
"TRABXLH128F935F8E7","Dee Clark","Little Bitty Pretty One"
"TRABXXX128F936272E","El Canto del Loco","Una Foto En Blanco Y Negro"
"TRABXYD128F42BB4E1","Lil' Chris","Checkin' It Out"
"TRABZOQ128F92F6599","Venke Knutson","Hold On"
"TRACAKD128F92D5D38","Kelly Clarkson","My Life Would Suck Without You"
"TRACBJL128F426A7CD","Rosey","Love"
"TRACCCN128F14AEB01","Justin Hayward","Heart of Steel"
"TRACCNE12903CD8E17","The Archies","Melody Hill"
"TRACEQC128F92F2E17","Giorgio Moroder","From Here To Eternity"
"TRACFDC128F147F1C6","Las Ketchup","Doble Bombo"
"TRACFYX128EF352BF1","KC & The Sunshine Band","Let It Go (Part One)"
"TRACGXQ128F1457F81","Falco","Monarchy Now"
"TRACIQI128F92E5877","Alizée","Décollage"
"TRACJYX128F1453469","Hanson","Man From Milwaukee"
"TRACKAP128F425B741","Christina Aguilera","Walk Away"
"TRACKKU128F92FDFA8","Cheryl Cole","Stand Up"
"TRACKLL128F92EB524","Girls Can't Catch","Keep Your Head Up"
"TRACKWL128F4283BB1","Michael Jackson","It's The Falling In Love"
"TRACMAJ128F1458881","Matia Bazar","Ti Sento"
"TRACMVQ128F93069A8","Teitur","Hitchhiker"
"TRACNMH12903CA9CCC","Lady GaGa","LoveGame"
"TRACPXQ128F423A861","Raf","Il Battito Animale"
"TRACQDW12903CD6D15","Danzel","Clap Your Hands"
"TRACRRQ128F429CD09","Spice Girls","Stop (Morales Remix)"
"TRACTDT12903CC84CF","Heatwave","Boogie Nights"
"TRACTGB128EF34C04A","Jewel","Only One Too  (DJ Volume Mix)"
"TRACWBT128F425A622","Dido","This Land Is Mine"
"TRACXJN128E0791F95","Boomkat","The Wreckoning"
"TRACYCJ128F9309246","Britney Spears","Don't Go Knockin' On My Door"
"TRACYUG128F4259D4C","Jamiroquai","So Good To Feel Real"
"TRACZQE12903CA99E6","Sinitta","Love On A Mountain Top"
"TRADDBB128F92DFBE5","The Saturdays","Fall"
"TRADDJQ128F92E96D7","Ice Mc","Scream"
"TRADDXS12903CEDB38","Rihanna","Don't Stop The Music"
"TRADELL128F92FFDE0","Alizée","C'Est Trop Tard"
"TRADFCO12903CA9439","Céline Dion","The Reason I Go On"
"TRADFHW128F92E34CF","Antti Tuisku","Valo"
"TRADGRL128F425FFD3","Sandra","Free Love"
"TRADHAF128F93141F8","Rachael Sage","Obvious"
"TRADHGR128F1499DBD","Tony Christie","Don't Go Down To Reno"
"TRADHLA128F1492706","Ashley Tisdale","Last Christmas (Single Version)"
"TRADICZ128F422C373","Bangbros","Arschgesicht"
"TRADIFK128F92D35D3","Carole King","Smackwater Jack"
"TRADIFS128F92F5AD3","Aaron Carter","To All The Girls"
"TRADIMW128F424CD4B","Tarkan","Hop Hop"
"TRADJBK128F1453605","Melanie Brown","IN TOO DEEP"
"TRADJBZ128F1491A61","Spice Girls","Never Give Up On The Good Times"
"TRADJGT12903C9EE47","Raf","Siamo Soli Nell'immenso vuoto Che C'è"
"TRADKRW12903CFB57E","Music Go Music","Light Of Love"
"TRADLRH128E078B203","Papa Dee","Angel"
"TRADLTH128F42AAFD2","Charlotte Church","Show A Little Faith"
"TRADNSG128F148C12B","Mylène Farmer","Et Tournoie"
"TRADNSH128E0793CD5","S Club 7","It's A Feel Good Thing"
"TRADOZD128F4298293","Bo Selecta","Soda Pop"
"TRADQZN128F935581C","Army Of Lovers","Say Goodbye To Babylon"
"TRADRJK128E078F041","The Cardigans","Iron Man"
"TRADRNH128E0784511","S Club 8","Don't Tell Me You're Sorry"
"TRADTCD128F93358C5","Thelma Houston","Don't Leave Me This Way"
"TRADTOV12903CA9E74","Shakira","Did It Again (featuring Kid Cudi)"
"TRADTWS128F4241AC1","The Cardigans","Lovefool"
"TRADTXQ128F9331913","Erik Hassle","Don't Bring Flowers"
"TRADULJ128EF35A1A2","Josh Groban","You Are Loved [Don't Give Up] (Album Version)"
"TRADUYC12903CCFBDB","Cher","You Take It All"
"TRADVGV128F42BCACE","Avril Lavigne","Innocence"
"TRADVUR128F426AE84","Susan Ashton","Body And Soul"
"TRADXHK128F931F812","PATY CANTU","No Fue Suficiente"
"TRADYDU128F1484B2C","Fergie","Big Girls Don't Cry (Personal)"
"TRAEAFM128F92F99DC","Nerina Pallot","When Did I Become Such A Bitch"
"TRAEASY128F148247C","Charlotte Gainsbourg","Tel Que Tu Es"
"TRAEAVR128F426604D","Benjamin Biolay","Hors La Vie"
"TRAEBAT12903CB657F","Dannii Minogue","Exclusively"
"TRAEBDG128F92EF926","Elton John","Original Sin"
"TRAEBGR128F9305D69","Martin Stenmarck","1000 nålar"
"TRAEBHW12903CE6A74","Demi Lovato","Falling Over Me"
"TRAEBXS128F429933A","Britney Spears feat. Pharrell Williams","Boys"
"TRAEBXV128E07993D3","Utada","You Make Me Want To Be A Man"
"TRAECBR128F429F8C0","Britney Spears","Everytime"
"TRAECQZ128F42643FD","Alice","Per Elisa"
"TRAEEVG128F425F28A","Hanna Pakarinen","When I Become Me"
"TRAEFGO128F92F7E9F","Fairground Attraction","Find My Love"
"TRAEGWR128F92E5B76","Amandine Bourgeois","Chacun Son Truc"
"TRAEINL12903CBAC41","Michael Jackson","Man In The Mirror"
"TRAEIQE128F42765D0","Jocelyn Brown","Love's Gonna Get You"
"TRAEIXG128F14AB337","Donny Osmond","How Deep Is Your Love"
"TRAELRO128F92DD2F1","Martha Wainwright","Comin' Tonight"
"TRAEMBO128F92E2852","Luka Bloom","Sunday"
"TRAEMCB128F422F834","Glenn Medeiros","Would I"
"TRAENXU128F92E04CA","Loona","Por la noche"
"TRAEOGP128F931D800","Lena Philipsson","Dansa I Neon"
"TRAERWQ128F92C2024","Daniel Powter","Bad Day"
"TRAESBE128EF341FF5","All Saints","On And On"
"TRAESSB128F148B71B","Laura Branigan","How Am I Supposed To Live Without You  (LP Version)"
"TRAEUBW128F148A833","All Saints","Rock Steady (Calvin Harris Remix)"
"TRAEVOS128F42741CB","Bertrand Burgalat","Orea Onira"
"TRAEWBN12903D08720","Slinkee Minx","Summer Rain"
"TRAEWOL128F92D86EA","Kish Mauve","You Make Me Feel"
"TRAEZFJ128F422A5C0","Shanadoo","King Kong"
"TRAFBCS128F425A6A4","Bay City Rollers","Marlena"
"TRAFDAE128F428B513","Cristina","Blame It On Disco"
"TRAFEFH128F427F2FA","Anna Nalick","Satellite"
"TRAFFVO128F425F27E","Anssi Kela","Laulu petetyille"
"TRAFGPO128F4274008","Céline Dion","Ne partez pas sans moi (Grand prix de L'Eurovision 1988)"
"TRAFGUM128F429686F","Five","Partyline 555-on-line"
"TRAFLLK128F932FB29","Axel Fischer feat. Cora","Amsterdam"
"TRAFNJG128F425A375","Will Young","Dance The Night Away"
"TRAFNQF128F4262628","Eddie Murphy","Hit By A Car"
"TRAFQSI128F422BC35","Elisa","Luce (Tramonti A Nord Est)"
"TRAFSLC128F9319DAF","Delta Goodrem","You Are My Rock"
"TRAFWUU128F92DFDEF","Eros Ramazzotti","Non Ti  Prometto Niente"
"TRAFZKY128F424C628","Miley Cyrus","See You Again"
"TRAGAPY128F92F5DDE","George Michael","Praying For Time"
"TRAGATD12903CFDDDE","La Casa Azul","Superguay"
"TRAGCQM128F4281823","Outhere Brothers","Shake It"
"TRAGCTT128E0783912","Ronan Keating","Words"
"TRAGDCK128F42AE732","Scandinavian Music Group","Ilman sinua olen lyijyä"
"TRAGDEG128F14B0263","Donny Osmond","How Long"
"TRAGESZ128F9327C3D","Jennifer Love Hewitt","Me And Bobby McGee"
"TRAGETL128F1492172","Donna Summer","Love To Love You Baby"
"TRAGGAG128F1452C30","ABC","Jealous Lover"
"TRAGGKO12903CB4F58","Miss Li","Let Her Go"
"TRAGJTH128F42BAFB6","Natasha St-Pier","Tant Que J'Existerai"
"TRAGLAE12903CDF2CB","The Platters","I'm Just a Dancing Partner"
"TRAGLFE128F428566B","Patrick Bruel","Au Bout De La Marelle"
"TRAGOTQ128F42B8203","Miley Cyrus","Fly On The Wall"
"TRAGUIF128F1453B81","David Bowie","Time Will Crawl (1999 Digital Remaster)"
"TRAGVYR128F93401BC","Tiktak","Yksin ja irrallaan"
"TRAHABV128F92FDB28","Two Man Sound","Que Tal America"
"TRAHBBS128F92CFBDC","Anastacia","I Can Feel You"
"TRAHBLW128F42941F4","Waldo's People","U Drive Me Crazy"
"TRAHCMG128F1494A15","Cristina Donà","Un Giorno Perfetto"
"TRAHEFP12903D06F29","Madleen Kane","Rough Diamond"
"TRAHEKJ128F92DFBE4","The Saturdays","Set Me Off"
"TRAHEPY128F425C172","The Dreamside","This Quest"
"TRAHGMS128E078161D","Pet Shop Boys","London (Westbam In Berlin Mix)"
"TRAHHMV12903CD0B0D","Backstreet Boys","PDA"
"TRAHKMR128F429A27A","Vanessa Paradis","Les Acrobates"
"TRAHKRT128F42AEEB9","La Oreja de Van Gogh","Cuantos Cuentos Cuento"
"TRAHLDG128F92EB4A9","Michael Jackson","Tabloid Junkie"
"TRAHLRJ128F1488710","Roxette","Crash! Boom! Bang! (Radio Edit)"
"TRAHNEC128F145AB01","Mylène Farmer","Prologue"
"TRAHNQA128F42AA6F6","Westlife","Angel"
"TRAHORF12903CDA9FB","Minipop","Fingerprints"
"TRAHRPI128F146C864","Elin Sigvardsson","Where To Start"
"TRAHTKK12903CE5FD2","Amaral","Resurrección"
"TRAHUPG128F148A834","All Saints","Rock Steady (MSTRKRFT Edition)"
"TRAHUQJ128F428ED6D","Charlotte Martin","Madman"
"TRAHVNL128F4267754","Münchener Freiheit","Solang man Träume noch leben kann"
"TRAHVTX128F4248FB0","Alanis Morissette","Underneath (Album Version)"
"TRAHXFH128F4294BDE","Westlife","World Of Our Own"
"TRAHXJE12903CEE650","Boyzone","Love Is A Hurricane"
"TRAHZMM128E07838FF","Wet Wet Wet","Goodnight Girl"
"TRAIBAI128F92E4FF8","Stefanie Heinzmann","My Man Is A Mean Man"
"TRAIBDS128F92F375B","Michael Jackson","Black Or White"
"TRAIBYZ128F1499F59","98º","Heaven's Missing An Angel"
"TRAICCY128F92D9396","Rosenstolz","Blaue Flecken"
"TRAICWV128F42354FC","883","Gli Avvoltoi"
"TRAIESJ128F4255A5D","Charlie Hall","You Are God"
"TRAIHFF128EF351817","Michael Jackson","Just A Little Bit Of You"
"TRAIHJI128F42903AA","Gareth Gates","Absolutely"
"TRAIHXX128F4232AB6","Amy Diamond","One Of The Ones"
"TRAIKBK128F92C6778","Melendi","Curiosa La Cara De Tu Padre"
"TRAIMQK12903CAF8A0","Sugababes","Wait For You"
"TRAINIF128F426416B","Backstreet Boys","The Call"
"TRAINQO128F92EB88D","Bee Gees","Islands In The Stream"
"TRAIPCL128F92E1525","Sophie Zelmani","Now you know"
"TRAIPUF128F93059DC","Spandau Ballet","Love Is All"
"TRAIPZG128F4257BFE","Kate Voegele","One Way Or Another"
"TRAITPW128F42782B2","Mariah Carey","Love Takes Time"
"TRAIUBI128F426311A","Benjamin Biolay","Mes Peines De Coeur"
"TRAIUEP12903CDB018","Marit Larsen","Under The Surface"
"TRAIVZI128F42642DE","Backstreet Boys","Shape Of My Heart"
"TRAIYAK128F146ECE7","McFly","I'll Be OK"
"TRAIZRD128F429B616","Marmalade","Rainbow"
"TRAJAYC128F14A240C","Kate Ryan","Another Day"
"TRAJBFE128F42B006B","Bic Runga","Listen"
"TRAJDDS128F14634A5","Sonique","Alive"
"TRAJDHN128F92C2EEF","Michael Jackson","Dirty Diana"
"TRAJDPI128F425B152","Cyndi Lauper","Give It Up"
"TRAJDTG128F148F3FC","The Corrs","All I Have To Do Is Dream feat. Laurent Voulzy"
"TRAJGCP128F92DF6C9","Dan Hartman","Instant Replay"
"TRAJHHH128F932B5E4","Katie Melua","The Closest Thing To Crazy"
"TRAJIYF128F9330009","Orup","Moderna Män"
"TRAJKMI128F4281107","Baby D","Let Me Be Your Fantasy"
"TRAJOUI128F9313732","Colbie Caillat","Magic"
"TRAJPVA128F931AEF9","Ercola feat. Daniella","Every Word"
"TRAJQLZ128F147B756","Everything But The Girl","Twin Cities"
"TRAJSGA128F92F97DA","Belinda Carlisle","I Plead Insanity"
"TRAJSLY12903CF9EC2","Tina Cousins","Pray"
"TRAJSOD128F9339CD6","Vanessa Hudgens","Sneakernight"
"TRAJSQT128EF34334B","Anna Ternheim","Bring Down Like I"
"TRAJTVQ128F92DFC74","Christina Aguilera","Still Dirrty"
"TRAJUKZ128F42908A2","Bonnie Tyler","I'm Only A Lonely Child"
"TRAJWBT128F932DEBE","Bee Gees","Run To Me"
"TRAJWWJ128F423353A","Texas","Tell Me The Answer"
"TRAJXQL128F428CAF0","Los Del Rio","Macarena"
"TRAJYZZ128F92C792D","Swing Out Sister","Something Every Day (Little Wizard mix)"
"TRAJZMT128F4234ECE","Maga","Astrolabios"
"TRAJZWU128F4292D32","Die Prinzen","Blaue Augen"
"TRAKAVV128F1480280","All Saints","I Don'T Wanna Be Alone"
"TRAKBSA128F147E23E","Michael Jackson","My Girl"
"TRAKBTO128F9327EC1","Barbra Streisand","Comin' In And Out Of Your Life"
"TRAKCAE128F92DACD8","Claude François","Le chanteur malheureux"
"TRAKDJO128E07811D8","Ashlee Simpson","Pieces Of Me"
"TRAKEGW128F9330A3B","Jewel","Intuition"
"TRAKEST128F92FFD82","The Hollies","The Woman I Love (2003 Digital Remaster)"
"TRAKFVX128F92F5AF6","Jennifer Love Hewitt","Stand In Your Way"
"TRAKGGF128F92D32EC","Susan Aglukark","I Will Return"
"TRAKIGU128F933F1FD","Dolly Rockers","Je Suis Une Dolly"
"TRAKJKM128F42794AD","Münchener Freiheit","Baby Blue"
"TRAKJNX128F92CF428","Fergie","London Bridge"
"TRAKLHO128F9359E2B","Gloria Gaynor","The Power Of Love"
"TRAKLQJ128F42607F9","Kat DeLuna","Run The Show featuring Don Omar [en Espanol]"
"TRAKLSA128F42B3009","Sarah McLachlan","The First Noel/Mary Mary"
"TRAKLUM128F428C6CB","Lisa Miskovsky","Acceptable Losses"
"TRAKLXJ128F42B4FD1","Nevio","Stella"
"TRAKMEP128F1468812","Kim Wilde","Can You Come Over"
"TRAKSMN128E078B464","Cher","Love Is The Groove"
"TRAKSQI128F42A450D","Patty Pravo","Pazza Idea"
"TRAKSYI128EF349B16","Scissor Sisters","I Can't Decide"
"TRAKTIL12903CF5344","Kate Miller-Heidke","I Like You Better When You're Not Around"
"TRAKUAM128F147872F","Tiziano Ferro","Salutandotiaffogo"
"TRAKUSX128F426707E","Destiny's Child","No_ No_ No"
"TRAKUYZ128F422BC4B","Elisa","Almeno Tu Nell'Universo"
"TRAKVTO12903CEE235","Markus Krunegård","Dålig på vardag"
"TRAKVVE128F424DECA","Abba","Thank You For The Music"
"TRAKZOU128E078B37A","Tanita Tikaram","Deliver Me"
"TRAKZOU128F931404E","JLS","Only Tonight"
"TRALABM128F148C08E","Michael Jackson","You Can Cry On My Shoulder"
"TRALAYF128F421CBD6","Mutya Buena","Real Girl"
"TRALBIA128F4272082","Britt Nicole","Good Day"
"TRALBVJ128F4216846","Cahill ft. Nikki Belle","Trippin On You"
"TRALBVP128F931B8E1","Katherine Jenkins","Angel"
"TRALBZL128F427A84D","S Club Juniors","Anytime Anywhere"
"TRALDVD128F42905F3","Luca Carboni","Farfallina"
"TRALFQE128F9329392","Skye","Stop Complaining"
"TRALFWK128F1458532","Paula Abdul","To You"
"TRALGCA128E078EC5F","Sheryl Crow","All I Wanna Do"
"TRALHLH128F1464D23","Lene Marlin","Disguise"
"TRALHRB128F4267197","Céline Dion","Think Twice"
"TRALIML128F14AE0AE","Avalon","First Love"
"TRALIZA128F4233586","Enrique Iglesias","Do You Know? (The Ping Pong Song)"
"TRALKLB128F92EA5CC","Katri Ylander","Aamuaurinkoon"
"TRALKSQ128F92F13A8","Jc Chasez","Right Here (By Your Side)"
"TRALMAU128F4252947","Anita Ward","Ring My Bell"
"TRALMBM128F92EAA15","Kelly Clarkson","Never Again"
"TRALMPX128F931C411","Gloria Gaynor","Broken Wings"
"TRALNPL128F4292551","Sophie Ellis-Bextor","Love It Is Love"
"TRALOJN128F932E6CF","Cerrone","Sweet Drums"
"TRALONM128EF35A199","Madonna","Jump [Jacques Lu Cont Edit]"
"TRALPQV128F424F989","2raumwohnung","Lachen und weinen"
"TRALQGQ128F427E682","Merche","Me Han Vuelto Loca"
"TRALQJZ128F423AD36","Sertab Erener","Everyway That I Can"
"TRALRLW12903CC37A7","Tanita Tikaram","Something New"
"TRALRYL128F42BCBEF","No Mercy","Please Don't Go"
"TRALSBI12903CCEEA0","Madonna","Holiday"
"TRALWZG12903D0891F","The Bachelors","Ramona"
"TRALXIM128F92CA4F1","Ace of Base","Happy Nation"
"TRALYIZ128F426B81A","Kreesha Turner","Bounce With Me"
"TRALZTM128F92EC5F0","Céline Dion","Because You Loved Me (Theme from \"Up Close and Personal\")"
"TRAMAKV128F4298063","Britney Spears","(You Drive Me) Crazy"
"TRAMDRT12903CA121C","Abba","Dancing Queen"
"TRAMESI128F93509F7","Britt Nicole","Set The World On Fire"
"TRAMHFT128F4228A91","Terra Naomi","Up Here"
"TRAMIWA128F42982E3","Spice Girls","Christmas Wrapping"
"TRAMLDU128F42A1946","Yvonne Catterfeld","Gefühle"
"TRAMLGE128F92F81DD","Noisettes","Don't Upset The Rhythm (Go Baby Go)"
"TRAMLYN12903D086F9","N-Dubz","I Need You"
"TRAMMPV128F4259766","Alison Moyet","Honey For The Bees"
"TRAMOUP128F9312B5D","Marjorie Estiano","Reflexo Do Amor"
"TRAMVBG128F4292203","Whitney Houston","I'm Every Woman"
"TRAMVBY128F425FABE","David Jordan","If I'm In Love"
"TRAMVDY12903D02BDE","Björn Rosenström","Brunnsparken"
"TRAMYQN128F425C1E0","Lindsay Lohan","I Want You To Want Me"
"TRAMZOY128F930926E","Aaron Carter","Real Good Time"
"TRANDIR12903CC6B7C","Tina Arena","That's The Way A Woman Feels"
"TRANDNJ128F934B1C5","Sabrina Setlur","Damals"
"TRANEAB128F933BBB4","Colbie Caillat","I Won't"
"TRANEOH128F92EFCA8","LFO","That's The Way It Is"
"TRANFUR128F92D30FC","Sarah McLachlan","Adia"
"TRANGXW128F427E577","Darlene Zschech","Wonderful You"
"TRANGYF128E0786C33","Madonna","Bedtime Story (Album Version)"
"TRANHAZ12903CDEB24","David Fonseca","Who Are U?"
"TRANKHZ128F92E582F","Katri Ylander","Välitunnilla"
"TRANKLM128F424709D","X-Perience","Deeper Than Deep"
"TRANKSP128F425A9B8","Westlife","Bop Bop Baby"
"TRANKVW12903D021E1","Ke$ha","TiK ToK"
"TRANMAY128F428A137","The Archies","Truck Driver"
"TRANMWS128F427069C","Marquess","Lo siento y adios"
"TRANNSR128F92F01A4","Colbie Caillat","Somethin' Special"
"TRANPNT128F9306A7F","Efecto Mariposa","Por quererte"
"TRANQIK128F42AEAF3","Münchener Freiheit","Schuld war wieder die Nacht"
"TRANQLL128F92F5263","Shakira","Poem To A Horse"
"TRANQWW128F92FDB30","Britney Spears","Mmm Papi"
"TRANTRZ128F14650D2","Atomic Kitten","Believer"
"TRANWAT128F42279FD","Nek","Notte di febbraio"
"TRANXHZ128F148D4DB","Madonna","Vogue [Live]"
"TRANXKN128F9324D5B","Zoegirl","Forevermore"
"TRANYRD128E078F277","Abba","Mamma Mia"
"TRANZJY128F1452974","Kate Bush","How To Be Invisible"
"TRAOAAX128F93170DE","Esser","Headlock"
"TRAOAUS128F4292B16","Five","Got The Feelin'"
"TRAOCBM128F9321DE6","Chimène Badi","Je Sais"
"TRAODGF128F92F3FF9","Britney Spears","Break The Ice"
"TRAOEDK128E07814F1","Robbie Williams","No Regrets"
"TRAOEON128F147AFBF","Lily Allen","Littlest Things"
"TRAOFIS128E07958B0","Laura Pausini","16/5/74"
"TRAOICS128F1461170","Roxette","Make My Head Go Pop"
"TRAOJIN128F1458781","Julia Fordham","Island"
"TRAOKIN128F92F21C4","Shakira","Lo Hecho Está Hecho"
"TRAOKUG128F42ADA08","G4","Beautiful"
"TRAOLLF12903D0FE7C","Spinvis","Een Kindje Van God"
"TRAOMDT12903CF73C3","Adrienne Pierce","Laundry & Dishes"
"TRAOMFT128F42A7684","Preluders","Losing My Religion"
"TRAONEL128F429A3EA","Marquess","La discoteca"
"TRAONLX128F42916F0","Ronan Keating","The Long Goodbye"
"TRAORGE12903CBE64B","Chantal Kreviazuk","Ghosts Of You"
"TRAOSMP128F429344F","Exposé","I'll Never Get Over You Getting Over Me"
"TRAOSPZ128F92CDB50","Vanessa Paradis","Des Que J'Te Vois"
"TRAOSWD128EF356E75","The Salsoul Orchestra","You're Just the Right Size"
"TRAOYDB12903CED868","Boney M.","Give It Up"
"TRAPADX128F92CFEE8","Markus Krunegård","Noiserock i Japan"
"TRAPAYS128E0793CCD","S Club 7","You're My Number One"
"TRAPDCB128F42824A6","Jessica Simpson","Take My Breath Away"
"TRAPDEN128F42BBEA2","Sezen Aksu","Tutuklu"
"TRAPDNS128F425F97E","Jacques Dutronc","L'Homme De Paille"
"TRAPDSH128F42B2357","Ana Torroja","Aire"
"TRAPDWW12903CCF655","Sophie Zelmani","Ready"
"TRAPFFC128F42901FE","Blue System","G.T.O."
"TRAPFGT128F92CF040","Adam Wade","Rain From The Skies"
"TRAPHAH128F42677A4","Jennifer Lopez","We Gotta Talk"
"TRAPKPD128F92E70F9","Dumas","Les secrets"
"TRAPLSZ12903CCE855","Bardot","Girls Do_ Boys Don't"
"TRAPNJE128F931269F","Miguel Angel Muñoz","Oh Carolina"
"TRAPPUJ128F931B3D1","Jawoll","Rendezvous - Ich hab' Dich seit langem nicht gesehen"
"TRAPQJY12903CBEBD2","the bird and the bee","She's Gone"
"TRAPRLT128F428C6D3","Lisa Miskovsky","As Daylight Fades"
"TRAPRMQ128F424A0F3","Ashlee Simpson","Bittersweet World"
"TRAPRUK128F934D9AC","Bingo Players","Devotion"
"TRAPSTW128F4278966","Alison Moyet","Falling"
"TRAPTYO128F92FC943","Amanda Lear","Follow Me"
"TRAPUFL128F425A8F9","Rick Astley","Nature Boy"
"TRAPUHS128F92DED95","Ysa Ferrer","Sens Interdit"
"TRAPUUJ12903CC37AD","Tanita Tikaram","My Love"
"TRAPVBG128F934C80B","Big Money","Space"
"TRAPVUT128F4267198","Céline Dion","Only One Road"
"TRAPWFA128F936596C","Universal Poplab","Pearl"
"TRAPWKI128E07886AF","Shakespears Sister","Could You Be Loved"
"TRAPXBE128F93008A3","Billie The Vision & The Dancers","No One Knows You"
"TRAPYRX128F427F248","Bobby Vinton","I Love How You Love Me"
"TRAPZTV128F92CAA4E","Beyoncé","Single Ladies (Put A Ring On It)"
"TRAQAAY128F93272C6","The Four Aces","Tell Me Why"
"TRAQCEW128F148EB99","JoJo","Note To GOD"
"TRAQEOR128F9307664","Paul Johnson","Get Get Down"
"TRAQGMY128F425A2F5","Annie Lennox","A Whiter Shade Of Pale"
"TRAQGPC128C7196DB7","Girls Aloud","The Show"
"TRAQIHR128F92DF3DF","Amanda Jenssen","Come On (You Have Arrived)"
"TRAQIQG128F4280A55","Roxette","Stars (Almighty 7'' Mix)"
"TRAQJAM128F14AC5E8","Geier Sturzflug","Bruttosozialprodukt"
"TRAQJZF128F148C488","Stakka Bo","Natural"
"TRAQKLZ12903CAC500","Ana Laura","Completely"
"TRAQMOW128F14922DF","Zazie","J'Envoie Valser"
"TRAQNLA12903CB64F7","Club 8","Whatever You Want"
"TRAQNLB128F93401D7","Tiktak","Minä olen yö"
"TRAQNSS128E0792281","Rachel Stevens","Sweet Dreams My LA Ex"
"TRAQOBV128F9326919","Bratz","You Think"
"TRAQPIU12903CD3B73","Lisa Nilsson","Det Är Bara Ord"
"TRAQQNS128F4235E4E","Ana Torroja y Miguel Bosé","Corazones"
"TRAQRQC128F42B34CF","Atomic Kitten","Love Doesn't Have To Hurt (Radio Version)"
"TRAQRRD128F425F8E7","Jacques Dutronc","Laquelle Des Deux Est La Plus Snob"
"TRAQRYZ128F4291DCB","Britney Spears","My Prerogative"
